post_id,username,post_date,caption,media_type,media_url,slide_count,like_count,comment_count,view_count,saved_count,share_count,hashtags,mentions,location,crawled_at
IG001,brandC,2025-02-26,Caption IG 1,image,https://instagram.com/media/1,3,799,134,9839,434,297,"#newproduct,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG002,brandB,2025-03-27,Caption IG 2,video,https://instagram.com/media/2,4,405,162,181,26,76,"#sale,#promo",@user1,Jakarta,2025-04-09 07:20:04
IG003,brandC,2025-02-07,Caption IG 3,image,https://instagram.com/media/3,2,370,27,2504,348,12,"#newproduct,#event",@user1,Jakarta,2025-04-09 07:20:04
IG004,brandB,2025-02-22,Caption IG 4,video,https://instagram.com/media/4,5,583,142,4159,2,286,"#promo,#sale",@user1,Jakarta,2025-04-09 07:20:04
IG005,brandA,2025-03-12,Caption IG 5,video,https://instagram.com/media/5,1,700,54,370,284,133,"#sale,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG006,brandB,2025-02-05,Caption IG 6,video,https://instagram.com/media/6,5,128,128,3763,203,34,"#promo,#newproduct",@user3,Jakarta,2025-04-09 07:20:04
IG007,brandB,2025-02-07,Caption IG 7,image,https://instagram.com/media/7,5,292,79,8867,179,203,"#promo,#event",@user1,Jakarta,2025-04-09 07:20:04
IG008,brandB,2025-02-02,Caption IG 8,carousel,https://instagram.com/media/8,2,553,156,3531,126,143,"#promo,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG009,brandB,2025-03-30,Caption IG 9,image,https://instagram.com/media/9,5,220,168,3181,74,258,"#promo,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG010,brandB,2025-03-28,Caption IG 10,video,https://instagram.com/media/10,2,293,198,4332,16,214,"#event,#newproduct",@user3,Jakarta,2025-04-09 07:20:04
IG011,brandA,2025-02-09,Caption IG 11,image,https://instagram.com/media/11,4,333,5,1251,245,282,"#promo,#sale",@user2,Jakarta,2025-04-09 07:20:04
IG012,brandC,2025-02-08,Caption IG 12,video,https://instagram.com/media/12,3,761,44,3559,78,287,"#newproduct,#event",@user1,Jakarta,2025-04-09 07:20:04
IG013,brandC,2025-02-13,Caption IG 13,image,https://instagram.com/media/13,5,663,199,8811,45,2,"#event,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG014,brandB,2025-02-07,Caption IG 14,video,https://instagram.com/media/14,4,524,2,2428,80,41,"#newproduct,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG015,brandC,2025-03-17,Caption IG 15,carousel,https://instagram.com/media/15,5,664,127,6629,136,228,"#newproduct,#promo",@user1,Jakarta,2025-04-09 07:20:04
IG016,brandC,2025-03-24,Caption IG 16,video,https://instagram.com/media/16,2,692,150,3206,134,74,"#newproduct,#promo",@user1,Jakarta,2025-04-09 07:20:04
IG017,brandB,2025-03-15,Caption IG 17,image,https://instagram.com/media/17,1,101,84,1644,184,69,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG018,brandC,2025-03-22,Caption IG 18,image,https://instagram.com/media/18,4,387,48,1565,168,257,"#sale,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG019,brandC,2025-02-18,Caption IG 19,carousel,https://instagram.com/media/19,4,142,99,356,208,253,"#sale,#newproduct",@user3,Jakarta,2025-04-09 07:20:04
IG020,brandB,2025-03-22,Caption IG 20,carousel,https://instagram.com/media/20,3,335,124,2900,77,68,"#event,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG021,brandC,2025-03-13,Caption IG 21,carousel,https://instagram.com/media/21,1,218,53,7133,178,281,"#newproduct,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG022,brandA,2025-03-18,Caption IG 22,image,https://instagram.com/media/22,4,583,55,9105,257,3,"#event,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG023,brandB,2025-02-16,Caption IG 23,carousel,https://instagram.com/media/23,4,546,47,1687,324,189,"#promo,#sale",@user1,Jakarta,2025-04-09 07:20:04
IG024,brandB,2025-02-04,Caption IG 24,image,https://instagram.com/media/24,4,688,96,8321,464,129,"#promo,#sale",@user3,Jakarta,2025-04-09 07:20:04
IG025,brandA,2025-02-11,Caption IG 25,carousel,https://instagram.com/media/25,3,120,190,7074,93,112,"#event,#sale",@user2,Jakarta,2025-04-09 07:20:04
IG026,brandA,2025-03-16,Caption IG 26,image,https://instagram.com/media/26,1,293,145,8300,197,231,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG027,brandA,2025-03-20,Caption IG 27,image,https://instagram.com/media/27,5,732,11,8841,221,69,"#event,#newproduct",@user3,Jakarta,2025-04-09 07:20:04
IG028,brandA,2025-02-12,Caption IG 28,video,https://instagram.com/media/28,4,34,49,1859,267,281,"#promo,#event",@user3,Jakarta,2025-04-09 07:20:04
IG029,brandB,2025-02-20,Caption IG 29,video,https://instagram.com/media/29,5,373,48,947,489,92,"#newproduct,#sale",@user3,Jakarta,2025-04-09 07:20:04
IG030,brandA,2025-03-23,Caption IG 30,carousel,https://instagram.com/media/30,3,551,137,4629,467,80,"#newproduct,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG031,brandB,2025-03-16,Caption IG 31,video,https://instagram.com/media/31,1,736,138,8719,339,296,"#newproduct,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG032,brandC,2025-02-05,Caption IG 32,carousel,https://instagram.com/media/32,2,858,31,357,397,213,"#event,#promo",@user1,Jakarta,2025-04-09 07:20:04
IG033,brandA,2025-03-13,Caption IG 33,carousel,https://instagram.com/media/33,5,751,151,2567,13,257,"#promo,#newproduct",@user3,Jakarta,2025-04-09 07:20:04
IG034,brandA,2025-03-12,Caption IG 34,carousel,https://instagram.com/media/34,5,710,11,7986,113,244,"#sale,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG035,brandB,2025-02-25,Caption IG 35,carousel,https://instagram.com/media/35,4,859,32,2672,408,45,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG036,brandB,2025-02-11,Caption IG 36,video,https://instagram.com/media/36,1,240,147,1806,138,121,"#newproduct,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG037,brandB,2025-03-08,Caption IG 37,carousel,https://instagram.com/media/37,1,240,10,2431,432,92,"#newproduct,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG038,brandC,2025-03-05,Caption IG 38,video,https://instagram.com/media/38,1,842,59,6703,69,219,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG039,brandA,2025-03-11,Caption IG 39,image,https://instagram.com/media/39,4,502,133,8462,436,297,"#promo,#sale",@user1,Jakarta,2025-04-09 07:20:04
IG040,brandB,2025-02-10,Caption IG 40,carousel,https://instagram.com/media/40,3,713,21,5680,65,193,"#sale,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG041,brandA,2025-03-27,Caption IG 41,image,https://instagram.com/media/41,1,525,38,2494,163,68,"#newproduct,#sale",@user2,Jakarta,2025-04-09 07:20:04
IG042,brandA,2025-02-04,Caption IG 42,carousel,https://instagram.com/media/42,5,654,78,2604,391,108,"#promo,#event",@user3,Jakarta,2025-04-09 07:20:04
IG043,brandB,2025-03-29,Caption IG 43,carousel,https://instagram.com/media/43,3,557,154,1073,332,199,"#newproduct,#event",@user2,Jakarta,2025-04-09 07:20:04
IG044,brandB,2025-02-12,Caption IG 44,image,https://instagram.com/media/44,2,804,184,507,204,281,"#promo,#sale",@user1,Jakarta,2025-04-09 07:20:04
IG045,brandB,2025-03-24,Caption IG 45,image,https://instagram.com/media/45,2,279,199,3204,53,232,"#sale,#promo",@user2,Jakarta,2025-04-09 07:20:04
IG046,brandC,2025-03-21,Caption IG 46,video,https://instagram.com/media/46,5,43,81,3830,156,52,"#sale,#promo",@user3,Jakarta,2025-04-09 07:20:04
IG047,brandC,2025-02-12,Caption IG 47,image,https://instagram.com/media/47,4,510,58,4233,344,87,"#event,#sale",@user3,Jakarta,2025-04-09 07:20:04
IG048,brandA,2025-03-15,Caption IG 48,carousel,https://instagram.com/media/48,2,500,187,7803,397,168,"#event,#newproduct",@user2,Jakarta,2025-04-09 07:20:04
IG049,brandC,2025-02-25,Caption IG 49,video,https://instagram.com/media/49,3,776,13,7915,116,4,"#event,#newproduct",@user1,Jakarta,2025-04-09 07:20:04
IG050,brandB,2025-02-08,Caption IG 50,image,https://instagram.com/media/50,1,807,130,4433,420,258,"#newproduct,#event",@user3,Jakarta,2025-04-09 07:20:04