post_id,username,post_date,caption,media_type,slide_count,like_count,comment_count,view_count,unique_viewers,saved_count,share_count,link_clicks,impression_count,hashtags_list,hashtags_count,hashtags,mentions,caption_entities,sentiment_score_caption,channel,crawled_at
POST_1000,vinfastglobal,2025-02-01,This is a sample caption for post 1000,image,5,4112,124,9644,8018,178,284,11,19318,"['#vinfast', '#mobility', '#electricvehicle', '#car']",4,#vinfast #mobility #electricvehicle #car,,{},0.01,Instagram,2025-04-25 07:44:23.988981
POST_1001,vinfastglobal,2025-02-01,This is a sample caption for post 1001,carousel,9,6973,122,29939,22908,6,86,89,36863,"['#greenfuture', '#ev', '#electricvehicle']",3,#greenfuture #ev #electricvehicle,@vinfast,{},-0.81,Instagram,2025-04-25 07:44:23.989090
POST_1002,vinfast.official,2025-02-01,This is a sample caption for post 1002,video,10,4433,423,3347,2772,142,68,48,4638,"['#mobility', '#electricvehicle', '#greenfuture']",3,#mobility #electricvehicle #greenfuture,@vinfast @evcommunity,{},-0.91,Instagram,2025-04-25 07:44:23.989112
POST_1003,vinfast.official,2025-02-01,This is a sample caption for post 1003,image,4,1754,204,18717,13177,98,88,47,24537,"['#mobility', '#greenfuture']",2,#mobility #greenfuture,@evcommunity @vinfast,{},0.22,Instagram,2025-04-25 07:44:23.989131
POST_1004,vinfastglobal,2025-02-01,This is a sample caption for post 1004,image,8,6316,148,42443,34364,61,171,98,43359,"['#vinfast', '#greenfuture']",2,#vinfast #greenfuture,@vf9,{},-0.87,TikTok,2025-04-25 07:44:23.989148
POST_1005,vinfastglobal,2025-02-01,This is a sample caption for post 1005,carousel,8,6582,462,42629,30116,72,76,31,51826,"['#mobility', '#electricvehicle', '#car']",3,#mobility #electricvehicle #car,@vf9 @evcommunity,{},-0.56,Instagram,2025-04-25 07:44:23.989164
POST_1006,vinfast.official,2025-02-01,This is a sample caption for post 1006,image,1,1896,88,41620,23806,179,221,76,42660,"['#car', '#electricvehicle', '#mobility', '#greenfuture']",4,#car #electricvehicle #mobility #greenfuture,@evcommunity,{},0.72,Instagram,2025-04-25 07:44:23.989179
POST_1007,vinfastglobal,2025-02-01,This is a sample caption for post 1007,carousel,9,4471,403,42506,27759,80,227,20,49939,['#mobility'],1,#mobility,@vf9 @vinfast,{},0.02,Instagram,2025-04-25 07:44:23.989201
POST_1008,vinfast.official,2025-02-01,This is a sample caption for post 1008,carousel,9,3358,88,25004,21081,143,276,0,34817,"['#car', '#vinfast', '#electricvehicle']",3,#car #vinfast #electricvehicle,@vf9,{},-0.52,Instagram,2025-04-25 07:44:23.989217
POST_1009,vinfastglobal,2025-02-01,This is a sample caption for post 1009,image,8,1233,399,35411,29909,37,248,70,38116,"['#electricvehicle', '#mobility', '#car']",3,#electricvehicle #mobility #car,,{},0.86,Instagram,2025-04-25 07:44:23.989232
POST_1010,vinfast.official,2025-02-02,This is a sample caption for post 1010,video,6,7277,470,34419,24202,68,120,8,39958,['#electricvehicle'],1,#electricvehicle,@vinfast @evcommunity,{},-0.99,Instagram,2025-04-25 07:44:23.989262
POST_1011,vinfastglobal,2025-02-02,This is a sample caption for post 1011,image,1,5513,46,34195,20759,176,253,27,43029,"['#mobility', '#electricvehicle']",2,#mobility #electricvehicle,@vf9 @vinfast,{},0.57,TikTok,2025-04-25 07:44:23.989279
POST_1012,vinfastglobal,2025-02-02,This is a sample caption for post 1012,image,2,7162,191,28259,19357,191,32,86,29871,['#car'],1,#car,@vf9 @vinfast,{},-0.5,Instagram,2025-04-25 07:44:23.989304
POST_1013,vinfast.official,2025-02-02,This is a sample caption for post 1013,image,7,3106,152,30818,18873,24,231,70,32422,['#mobility'],1,#mobility,@vinfast @evcommunity,{},0.85,Instagram,2025-04-25 07:44:23.989319
POST_1014,vinfastglobal,2025-02-02,This is a sample caption for post 1014,video,8,7986,119,26782,24267,47,199,0,33178,"['#car', '#greenfuture', '#mobility']",3,#car #greenfuture #mobility,@evcommunity @vf9,{},-0.69,TikTok,2025-04-25 07:44:23.989334
POST_1015,vinfastglobal,2025-02-02,This is a sample caption for post 1015,image,10,8983,41,49519,31747,17,249,64,58220,"['#vinfast', '#electricvehicle']",2,#vinfast #electricvehicle,,{},0.7,Instagram,2025-04-25 07:44:23.989347
POST_1016,vinfastglobal,2025-02-02,This is a sample caption for post 1016,carousel,4,6715,71,37834,23108,157,25,79,39177,"['#mobility', '#electricvehicle', '#greenfuture', '#ev']",4,#mobility #electricvehicle #greenfuture #ev,,{},0.34,TikTok,2025-04-25 07:44:23.989369
POST_1017,vinfastglobal,2025-02-02,This is a sample caption for post 1017,video,7,2244,353,42803,27179,85,42,1,50311,['#vinfast'],1,#vinfast,@vinfast @vf9,{},-0.74,TikTok,2025-04-25 07:44:23.989388
POST_1018,vinfastglobal,2025-02-02,This is a sample caption for post 1018,image,6,4769,90,29216,25569,185,159,78,37882,['#mobility'],1,#mobility,@vf9 @vinfast,{},0.88,Instagram,2025-04-25 07:44:23.989410
POST_1019,vinfast.official,2025-02-02,This is a sample caption for post 1019,image,2,9164,89,18348,11500,58,180,26,22673,"['#greenfuture', '#vinfast', '#electricvehicle', '#mobility']",4,#greenfuture #vinfast #electricvehicle #mobility,@vf9,{},-0.91,TikTok,2025-04-25 07:44:23.989431
POST_1020,vinfast.official,2025-02-03,This is a sample caption for post 1020,image,8,9138,371,28528,21464,33,43,88,30970,['#greenfuture'],1,#greenfuture,@evcommunity @vinfast,{},-0.14,Instagram,2025-04-25 07:44:23.989453
POST_1021,vinfast.official,2025-02-03,This is a sample caption for post 1021,video,1,5962,117,45199,27674,31,186,99,54372,"['#electricvehicle', '#ev', '#mobility', '#vinfast']",4,#electricvehicle #ev #mobility #vinfast,,{},0.76,Instagram,2025-04-25 07:44:23.989477
POST_1022,vinfastglobal,2025-02-03,This is a sample caption for post 1022,carousel,6,6845,420,44403,39466,68,141,20,46174,"['#vinfast', '#car', '#ev', '#mobility']",4,#vinfast #car #ev #mobility,@vf9,{},-0.39,Instagram,2025-04-25 07:44:23.989500
POST_1023,vinfastglobal,2025-02-03,This is a sample caption for post 1023,image,4,6628,178,18758,16675,76,184,82,27104,"['#mobility', '#electricvehicle', '#greenfuture', '#vinfast']",4,#mobility #electricvehicle #greenfuture #vinfast,,{},0.75,TikTok,2025-04-25 07:44:23.989524
POST_1024,vinfastglobal,2025-02-03,This is a sample caption for post 1024,carousel,5,726,65,39596,27541,191,165,55,49528,['#car'],1,#car,@vinfast @vf9,{},-0.91,TikTok,2025-04-25 07:44:23.989547
POST_1025,vinfastglobal,2025-02-03,This is a sample caption for post 1025,carousel,9,3328,196,28765,15288,175,174,79,33908,['#mobility'],1,#mobility,@evcommunity,{},-0.38,TikTok,2025-04-25 07:44:23.989568
POST_1026,vinfast.official,2025-02-04,This is a sample caption for post 1026,carousel,5,9183,75,13072,9009,102,94,78,22396,"['#car', '#electricvehicle', '#vinfast']",3,#car #electricvehicle #vinfast,@vf9,{},-0.58,TikTok,2025-04-25 07:44:23.989583
POST_1027,vinfast.official,2025-02-04,This is a sample caption for post 1027,video,8,3601,271,31510,27009,193,91,84,32899,"['#electricvehicle', '#mobility', '#greenfuture']",3,#electricvehicle #mobility #greenfuture,,{},0.64,Instagram,2025-04-25 07:44:23.989596
POST_1028,vinfast.official,2025-02-04,This is a sample caption for post 1028,image,4,2514,22,3528,2152,126,42,58,10318,"['#mobility', '#car']",2,#mobility #car,@vf9,{},-0.51,Instagram,2025-04-25 07:44:23.989613
POST_1029,vinfastglobal,2025-02-04,This is a sample caption for post 1029,video,4,2981,421,46107,33800,17,290,31,48095,"['#ev', '#car', '#greenfuture', '#mobility']",4,#ev #car #greenfuture #mobility,@evcommunity @vf9,{},0.66,TikTok,2025-04-25 07:44:23.989628
POST_1030,vinfastglobal,2025-02-04,This is a sample caption for post 1030,carousel,8,7473,142,49768,30421,168,146,98,58308,"['#mobility', '#ev', '#greenfuture', '#electricvehicle']",4,#mobility #ev #greenfuture #electricvehicle,,{},0.43,Instagram,2025-04-25 07:44:23.989642
POST_1031,vinfast.official,2025-02-04,This is a sample caption for post 1031,video,6,8949,51,9568,5433,103,83,90,13073,['#car'],1,#car,@vf9,{},0.09,TikTok,2025-04-25 07:44:23.989654
POST_1032,vinfastglobal,2025-02-04,This is a sample caption for post 1032,image,7,6481,473,38778,35897,10,299,48,46592,['#greenfuture'],1,#greenfuture,@vf9,{},0.71,TikTok,2025-04-25 07:44:23.989667
POST_1033,vinfastglobal,2025-02-05,This is a sample caption for post 1033,video,4,4571,233,32327,16585,91,212,92,35031,"['#ev', '#electricvehicle', '#vinfast', '#mobility']",4,#ev #electricvehicle #vinfast #mobility,@evcommunity @vinfast,{},-0.83,TikTok,2025-04-25 07:44:23.989684
POST_1034,vinfastglobal,2025-02-05,This is a sample caption for post 1034,video,3,923,143,25344,16405,121,172,43,31555,"['#car', '#greenfuture', '#vinfast']",3,#car #greenfuture #vinfast,@vinfast,{},0.5,Instagram,2025-04-25 07:44:23.989697
POST_1035,vinfast.official,2025-02-05,This is a sample caption for post 1035,image,2,759,396,2533,2348,56,15,79,5029,"['#ev', '#car']",2,#ev #car,@vinfast @evcommunity,{},-0.07,TikTok,2025-04-25 07:44:23.989712
POST_1036,vinfast.official,2025-02-05,This is a sample caption for post 1036,image,10,1976,408,11232,10492,32,18,39,20665,"['#car', '#ev', '#vinfast', '#greenfuture']",4,#car #ev #vinfast #greenfuture,@evcommunity @vinfast,{},-0.8,TikTok,2025-04-25 07:44:23.989726
POST_1037,vinfastglobal,2025-02-05,This is a sample caption for post 1037,carousel,1,5788,282,28574,22793,22,264,82,34164,['#car'],1,#car,@vinfast,{},-0.13,TikTok,2025-04-25 07:44:23.989747
POST_1038,vinfast.official,2025-02-05,This is a sample caption for post 1038,carousel,3,7235,100,48590,35703,171,143,78,57407,"['#car', '#mobility', '#greenfuture', '#ev']",4,#car #mobility #greenfuture #ev,,{},0.66,Instagram,2025-04-25 07:44:23.989771
POST_1039,vinfast.official,2025-02-05,This is a sample caption for post 1039,video,4,7713,301,40498,32426,91,19,63,45823,"['#car', '#ev']",2,#car #ev,@vf9,{},-0.32,TikTok,2025-04-25 07:44:23.989790
POST_1040,vinfastglobal,2025-02-05,This is a sample caption for post 1040,carousel,4,1502,133,47690,32567,147,128,88,55490,"['#car', '#vinfast', '#electricvehicle', '#ev']",4,#car #vinfast #electricvehicle #ev,,{},-0.19,Instagram,2025-04-25 07:44:23.989804
POST_1041,vinfast.official,2025-02-05,This is a sample caption for post 1041,carousel,10,6146,252,36772,27171,113,286,42,42536,"['#greenfuture', '#mobility', '#electricvehicle', '#vinfast']",4,#greenfuture #mobility #electricvehicle #vinfast,,{},0.44,TikTok,2025-04-25 07:44:23.989817
POST_1042,vinfastglobal,2025-02-06,This is a sample caption for post 1042,image,4,8033,151,47986,36724,199,273,76,52622,['#ev'],1,#ev,@vinfast,{},-0.28,TikTok,2025-04-25 07:44:23.989832
POST_1043,vinfastglobal,2025-02-06,This is a sample caption for post 1043,carousel,9,2173,150,3482,3267,146,154,89,5550,"['#vinfast', '#mobility', '#greenfuture', '#ev']",4,#vinfast #mobility #greenfuture #ev,@vf9,{},-0.32,Instagram,2025-04-25 07:44:23.989846
POST_1044,vinfast.official,2025-02-06,This is a sample caption for post 1044,video,2,1170,215,32727,17454,166,32,19,35171,"['#vinfast', '#ev', '#mobility']",3,#vinfast #ev #mobility,@vf9 @vinfast,{},0.55,TikTok,2025-04-25 07:44:23.989861
POST_1045,vinfast.official,2025-02-06,This is a sample caption for post 1045,video,5,9742,229,20513,15505,20,55,97,23917,"['#greenfuture', '#vinfast']",2,#greenfuture #vinfast,,{},-0.52,Instagram,2025-04-25 07:44:23.989875
POST_1046,vinfastglobal,2025-02-06,This is a sample caption for post 1046,image,7,7481,362,39416,28042,13,123,36,44048,"['#vinfast', '#ev', '#greenfuture', '#car']",4,#vinfast #ev #greenfuture #car,@evcommunity @vinfast,{},-0.15,Instagram,2025-04-25 07:44:23.989889
POST_1047,vinfastglobal,2025-02-07,This is a sample caption for post 1047,video,3,1269,40,11373,9743,157,296,36,18568,['#car'],1,#car,@vf9 @evcommunity,{},0.89,TikTok,2025-04-25 07:44:23.989904
POST_1048,vinfast.official,2025-02-07,This is a sample caption for post 1048,image,10,753,465,28813,23930,159,133,3,30309,"['#mobility', '#electricvehicle']",2,#mobility #electricvehicle,@vinfast @vf9,{},0.15,Instagram,2025-04-25 07:44:23.989917
POST_1049,vinfast.official,2025-02-07,This is a sample caption for post 1049,carousel,8,4657,102,38860,27052,130,51,60,44560,"['#greenfuture', '#mobility', '#vinfast', '#car']",4,#greenfuture #mobility #vinfast #car,@vf9,{},0.39,TikTok,2025-04-25 07:44:23.989931
POST_1050,vinfast.official,2025-02-07,This is a sample caption for post 1050,carousel,1,7551,55,21112,12953,34,211,65,21130,"['#car', '#vinfast', '#ev', '#greenfuture']",4,#car #vinfast #ev #greenfuture,@evcommunity,{},0.51,TikTok,2025-04-25 07:44:23.989945
POST_1051,vinfastglobal,2025-02-07,This is a sample caption for post 1051,image,5,9098,77,19376,13508,183,253,15,19848,"['#mobility', '#ev']",2,#mobility #ev,@evcommunity,{},-0.97,TikTok,2025-04-25 07:44:23.989960
POST_1052,vinfastglobal,2025-02-07,This is a sample caption for post 1052,image,2,7660,494,8198,6488,44,260,91,12979,"['#car', '#mobility', '#electricvehicle']",3,#car #mobility #electricvehicle,,{},-0.09,Instagram,2025-04-25 07:44:23.989973
POST_1053,vinfast.official,2025-02-07,This is a sample caption for post 1053,image,10,8427,392,9446,8395,75,217,43,17764,"['#vinfast', '#greenfuture', '#electricvehicle']",3,#vinfast #greenfuture #electricvehicle,@evcommunity @vf9,{},0.73,TikTok,2025-04-25 07:44:23.989987
POST_1054,vinfast.official,2025-02-07,This is a sample caption for post 1054,video,6,9142,400,36114,24187,87,101,89,40026,"['#ev', '#car', '#vinfast', '#mobility']",4,#ev #car #vinfast #mobility,@vf9 @evcommunity,{},-0.23,Instagram,2025-04-25 07:44:23.990011
POST_1055,vinfast.official,2025-02-07,This is a sample caption for post 1055,image,3,8329,312,22257,19839,117,56,67,29743,['#mobility'],1,#mobility,,{},-0.18,Instagram,2025-04-25 07:44:23.990032
POST_1056,vinfastglobal,2025-02-07,This is a sample caption for post 1056,video,5,5646,329,45897,31157,25,173,86,54639,"['#greenfuture', '#car', '#vinfast', '#mobility']",4,#greenfuture #car #vinfast #mobility,,{},-0.53,TikTok,2025-04-25 07:44:23.990046
POST_1057,vinfastglobal,2025-02-08,This is a sample caption for post 1057,video,2,1746,237,11402,9261,12,28,41,12321,"['#greenfuture', '#mobility', '#car']",3,#greenfuture #mobility #car,,{},-0.51,TikTok,2025-04-25 07:44:23.990062
POST_1058,vinfastglobal,2025-02-08,This is a sample caption for post 1058,image,3,1393,322,25570,19915,66,259,74,27914,"['#car', '#greenfuture']",2,#car #greenfuture,@vf9,{},0.33,TikTok,2025-04-25 07:44:23.990076
POST_1059,vinfast.official,2025-02-08,This is a sample caption for post 1059,carousel,9,2688,47,29449,27250,155,158,81,36400,"['#car', '#greenfuture', '#ev']",3,#car #greenfuture #ev,@vf9,{},-0.79,TikTok,2025-04-25 07:44:23.990091
POST_1060,vinfast.official,2025-02-08,This is a sample caption for post 1060,carousel,5,4937,21,43637,29590,7,294,87,44440,"['#greenfuture', '#ev', '#mobility', '#vinfast']",4,#greenfuture #ev #mobility #vinfast,@vinfast @vf9,{},0.36,Instagram,2025-04-25 07:44:23.990106
POST_1061,vinfastglobal,2025-02-08,This is a sample caption for post 1061,carousel,1,5161,413,29389,15135,98,72,11,34224,"['#mobility', '#car', '#ev']",3,#mobility #car #ev,,{},-0.74,TikTok,2025-04-25 07:44:23.990119
POST_1062,vinfast.official,2025-02-08,This is a sample caption for post 1062,image,5,7994,422,19842,16586,91,63,59,21075,"['#ev', '#car']",2,#ev #car,@vf9 @vinfast,{},0.58,Instagram,2025-04-25 07:44:23.990134
POST_1063,vinfastglobal,2025-02-09,This is a sample caption for post 1063,video,6,4395,309,25470,22161,100,60,86,29300,"['#vinfast', '#electricvehicle', '#greenfuture', '#car']",4,#vinfast #electricvehicle #greenfuture #car,,{},0.3,TikTok,2025-04-25 07:44:23.990149
POST_1064,vinfast.official,2025-02-09,This is a sample caption for post 1064,carousel,7,2011,81,3471,3213,82,257,14,5063,"['#electricvehicle', '#ev']",2,#electricvehicle #ev,@vf9,{},-0.26,TikTok,2025-04-25 07:44:23.990162
POST_1065,vinfastglobal,2025-02-09,This is a sample caption for post 1065,video,2,8117,325,27246,25136,76,21,88,33316,"['#car', '#mobility']",2,#car #mobility,,{},0.71,Instagram,2025-04-25 07:44:23.990177
POST_1066,vinfast.official,2025-02-09,This is a sample caption for post 1066,carousel,6,1092,213,18580,10876,36,237,11,22055,['#vinfast'],1,#vinfast,@vinfast,{},0.98,Instagram,2025-04-25 07:44:23.990190
POST_1067,vinfastglobal,2025-02-09,This is a sample caption for post 1067,carousel,4,9707,120,15769,10215,42,6,35,18139,"['#electricvehicle', '#greenfuture']",2,#electricvehicle #greenfuture,,{},-0.78,Instagram,2025-04-25 07:44:23.990203
POST_1068,vinfastglobal,2025-02-09,This is a sample caption for post 1068,image,6,3998,311,21718,11013,72,31,16,28615,['#mobility'],1,#mobility,,{},-0.05,TikTok,2025-04-25 07:44:23.990215
POST_1069,vinfastglobal,2025-02-09,This is a sample caption for post 1069,video,9,3729,494,40811,21201,173,271,38,48315,['#vinfast'],1,#vinfast,@vf9,{},-0.15,Instagram,2025-04-25 07:44:23.990228
POST_1070,vinfast.official,2025-02-10,This is a sample caption for post 1070,image,2,5377,321,10221,5412,75,285,91,15548,"['#electricvehicle', '#mobility', '#greenfuture', '#ev']",4,#electricvehicle #mobility #greenfuture #ev,@evcommunity @vf9,{},-0.8,Instagram,2025-04-25 07:44:23.990242
POST_1071,vinfastglobal,2025-02-10,This is a sample caption for post 1071,video,8,3843,221,22712,19812,107,217,93,24269,"['#car', '#greenfuture', '#electricvehicle']",3,#car #greenfuture #electricvehicle,@vinfast,{},0.37,TikTok,2025-04-25 07:44:23.990256
POST_1072,vinfastglobal,2025-02-10,This is a sample caption for post 1072,image,2,1627,231,6828,5701,100,71,71,7810,"['#mobility', '#vinfast', '#car']",3,#mobility #vinfast #car,@evcommunity,{},0.88,TikTok,2025-04-25 07:44:23.990269
POST_1073,vinfastglobal,2025-02-10,This is a sample caption for post 1073,video,10,5219,190,7289,5540,59,84,84,15189,"['#vinfast', '#greenfuture']",2,#vinfast #greenfuture,@vf9 @vinfast,{},0.53,Instagram,2025-04-25 07:44:23.990283
POST_1074,vinfast.official,2025-02-10,This is a sample caption for post 1074,carousel,10,9221,23,40411,37100,182,141,3,43366,"['#mobility', '#greenfuture', '#electricvehicle']",3,#mobility #greenfuture #electricvehicle,@vinfast,{},-0.64,Instagram,2025-04-25 07:44:23.990297
POST_1075,vinfast.official,2025-02-10,This is a sample caption for post 1075,image,3,602,56,49397,36490,101,219,58,54982,"['#greenfuture', '#mobility']",2,#greenfuture #mobility,@vf9 @vinfast,{},0.77,Instagram,2025-04-25 07:44:23.990310
POST_1076,vinfastglobal,2025-02-10,This is a sample caption for post 1076,carousel,1,1436,149,29539,23568,129,231,53,34014,"['#electricvehicle', '#vinfast']",2,#electricvehicle #vinfast,@vf9,{},-0.78,TikTok,2025-04-25 07:44:23.990323
POST_1077,vinfast.official,2025-02-10,This is a sample caption for post 1077,image,4,6575,316,4090,2059,82,113,98,6338,"['#greenfuture', '#mobility', '#vinfast']",3,#greenfuture #mobility #vinfast,,{},-0.01,TikTok,2025-04-25 07:44:23.990336
POST_1078,vinfastglobal,2025-02-11,This is a sample caption for post 1078,video,9,3870,266,37116,32476,95,41,50,37809,"['#vinfast', '#car', '#mobility', '#ev']",4,#vinfast #car #mobility #ev,@vf9 @evcommunity,{},0.42,TikTok,2025-04-25 07:44:23.990359
POST_1079,vinfast.official,2025-02-11,This is a sample caption for post 1079,image,7,441,176,11763,10123,163,240,88,17691,['#car'],1,#car,,{},-0.51,TikTok,2025-04-25 07:44:23.990375
POST_1080,vinfastglobal,2025-02-11,This is a sample caption for post 1080,video,5,5662,123,22327,18991,24,266,81,24195,"['#greenfuture', '#mobility']",2,#greenfuture #mobility,@evcommunity @vinfast,{},-0.53,Instagram,2025-04-25 07:44:23.990388
POST_1081,vinfast.official,2025-02-11,This is a sample caption for post 1081,image,3,9969,88,43459,23203,165,257,59,52695,"['#mobility', '#electricvehicle', '#greenfuture', '#car']",4,#mobility #electricvehicle #greenfuture #car,@vinfast,{},-0.12,TikTok,2025-04-25 07:44:23.990403
POST_1082,vinfast.official,2025-02-11,This is a sample caption for post 1082,carousel,5,4600,312,4181,2752,23,163,59,11585,['#vinfast'],1,#vinfast,@vf9,{},-0.85,Instagram,2025-04-25 07:44:23.990416
POST_1083,vinfast.official,2025-02-11,This is a sample caption for post 1083,video,10,9181,498,48925,44186,120,297,83,52009,"['#electricvehicle', '#car', '#ev']",3,#electricvehicle #car #ev,,{},-0.1,TikTok,2025-04-25 07:44:23.990439
POST_1084,vinfastglobal,2025-02-12,This is a sample caption for post 1084,carousel,3,741,136,46874,32670,117,273,66,56865,"['#greenfuture', '#mobility']",2,#greenfuture #mobility,@vf9,{},-0.18,TikTok,2025-04-25 07:44:23.990454
POST_1085,vinfastglobal,2025-02-12,This is a sample caption for post 1085,carousel,6,1179,178,6693,5027,103,150,32,16567,"['#greenfuture', '#vinfast']",2,#greenfuture #vinfast,@evcommunity @vinfast,{},0.83,TikTok,2025-04-25 07:44:23.990467
POST_1086,vinfast.official,2025-02-12,This is a sample caption for post 1086,image,10,1488,168,37129,24858,89,70,85,45753,['#mobility'],1,#mobility,@vf9 @evcommunity,{},-0.96,TikTok,2025-04-25 07:44:23.990481
POST_1087,vinfastglobal,2025-02-12,This is a sample caption for post 1087,image,6,8067,108,15346,14578,44,44,37,17003,['#mobility'],1,#mobility,@evcommunity,{},-0.74,TikTok,2025-04-25 07:44:23.990495
POST_1088,vinfastglobal,2025-02-12,This is a sample caption for post 1088,image,3,2812,379,29183,15165,98,126,56,33851,"['#ev', '#electricvehicle', '#mobility', '#car']",4,#ev #electricvehicle #mobility #car,@vinfast,{},-0.26,TikTok,2025-04-25 07:44:23.990509
POST_1089,vinfast.official,2025-02-12,This is a sample caption for post 1089,video,7,8339,280,27937,26116,56,75,32,28791,"['#greenfuture', '#electricvehicle', '#vinfast', '#mobility']",4,#greenfuture #electricvehicle #vinfast #mobility,@vinfast @vf9,{},-0.83,Instagram,2025-04-25 07:44:23.990524
POST_1090,vinfast.official,2025-02-12,This is a sample caption for post 1090,video,9,2514,435,29170,15788,61,235,44,29606,"['#vinfast', '#car', '#greenfuture', '#mobility']",4,#vinfast #car #greenfuture #mobility,@vinfast,{},-0.25,Instagram,2025-04-25 07:44:23.990538
POST_1091,vinfast.official,2025-02-12,This is a sample caption for post 1091,image,6,2492,80,3010,1893,125,76,97,10695,"['#electricvehicle', '#vinfast', '#mobility', '#car']",4,#electricvehicle #vinfast #mobility #car,@vinfast,{},0.67,TikTok,2025-04-25 07:44:23.990552
POST_1092,vinfastglobal,2025-02-12,This is a sample caption for post 1092,video,4,5034,72,3629,2203,168,239,8,5445,"['#electricvehicle', '#mobility', '#vinfast', '#greenfuture']",4,#electricvehicle #mobility #vinfast #greenfuture,@evcommunity @vinfast,{},0.44,TikTok,2025-04-25 07:44:23.990567
POST_1093,vinfast.official,2025-02-12,This is a sample caption for post 1093,image,10,5880,133,37899,26053,175,48,67,43807,['#electricvehicle'],1,#electricvehicle,@evcommunity @vinfast,{},-0.22,TikTok,2025-04-25 07:44:23.990580
POST_1094,vinfast.official,2025-02-13,This is a sample caption for post 1094,video,5,366,192,4927,3227,192,58,98,14460,"['#ev', '#vinfast', '#greenfuture']",3,#ev #vinfast #greenfuture,@vf9 @vinfast,{},0.66,TikTok,2025-04-25 07:44:23.990595
POST_1095,vinfast.official,2025-02-13,This is a sample caption for post 1095,carousel,3,2309,42,47426,40278,122,23,37,50728,['#ev'],1,#ev,,{},-0.37,TikTok,2025-04-25 07:44:23.990607
POST_1096,vinfast.official,2025-02-13,This is a sample caption for post 1096,carousel,8,4250,28,49867,39450,78,187,99,50650,"['#greenfuture', '#vinfast', '#mobility']",3,#greenfuture #vinfast #mobility,@vf9,{},0.49,TikTok,2025-04-25 07:44:23.990621
POST_1097,vinfast.official,2025-02-13,This is a sample caption for post 1097,image,8,8251,198,34531,21410,26,222,10,41586,"['#electricvehicle', '#greenfuture']",2,#electricvehicle #greenfuture,@vinfast,{},-0.84,TikTok,2025-04-25 07:44:23.990645
POST_1098,vinfast.official,2025-02-13,This is a sample caption for post 1098,video,10,7081,95,45704,31981,119,26,93,51480,"['#greenfuture', '#vinfast', '#electricvehicle', '#mobility']",4,#greenfuture #vinfast #electricvehicle #mobility,@vf9 @evcommunity,{},0.03,Instagram,2025-04-25 07:44:23.990660
POST_1099,vinfastglobal,2025-02-14,This is a sample caption for post 1099,carousel,8,670,74,4906,2974,170,192,46,11178,['#electricvehicle'],1,#electricvehicle,,{},0.36,TikTok,2025-04-25 07:44:23.990674
POST_1100,vinfast.official,2025-02-14,This is a sample caption for post 1100,video,2,9503,80,35198,23411,85,147,31,37056,['#mobility'],1,#mobility,,{},-0.0,TikTok,2025-04-25 07:44:23.990687
POST_1101,vinfastglobal,2025-02-14,This is a sample caption for post 1101,video,5,7411,119,40599,25516,130,107,15,42822,['#car'],1,#car,,{},0.8,TikTok,2025-04-25 07:44:23.990699
POST_1102,vinfastglobal,2025-02-14,This is a sample caption for post 1102,carousel,6,5792,373,4755,3554,79,158,20,7607,"['#electricvehicle', '#ev', '#vinfast']",3,#electricvehicle #ev #vinfast,,{},0.58,Instagram,2025-04-25 07:44:23.990713
POST_1103,vinfast.official,2025-02-14,This is a sample caption for post 1103,image,6,9177,303,24676,17528,146,71,78,26088,['#greenfuture'],1,#greenfuture,@evcommunity,{},0.44,TikTok,2025-04-25 07:44:23.990726
